0,CombatZoneResize,241,226,406,391,TLResume,,
0,HeartTeleport,320,304,,,,,
0,TLPause,,,,,,,
0,SansText,It's seem that you really           don't want to read the past.huh?,,,,,,
0,CombatZoneResize,133,251,508,391,TLResume,,
0,GetHeartPos,HeartX,HeartY,,,,,
0,HeartTeleport,$HeartX,$HeartY,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,HeartMaxFallSpeed,750,,,,,,
0,SET,Loop,15,,,,,
0,:RndAttack,,,,,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.4,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,End,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,5,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPABS,Attack0,,,,,,
0,JMPABS,Attack1,,,,,,
0,JMPABS,Attack2,,,,,,
0,JMPABS,Attack3,,,,,,
0,JMPABS,Attack4,,,,,,
0,:Attack0,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,SansSlam,1,,,,,,
0.1,BoneVRepeat,128,329,57,0,285,4,16
0,BoneV,64,286,100,0,285,,
0,BoneVRepeat,512,329,57,2,285,4,16
0,BoneV,576,286,100,2,285,,
0.7,JMPABS,RndAttack,,,,,,
0,:Attack1,,,,,,,
0,CombatZoneResizeInstant,168,276,486,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneV,56,352,35,0,320,0,
0,BoneV,584,352,35,2,320,0,
0.06,BoneV,56,352,35,0,320,0,
0,BoneV,584,352,35,2,320,0,
0,BoneV,158,286,100,0,320,1,
0,BoneV,32,286,100,0,320,0,
0,BoneV,482,286,100,2,320,1,
0,BoneV,608,286,100,2,320,0,
0.79,JMPABS,RndAttack,,,,,,
0,:Attack2,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,320,376,,,,,
0,SET,Total,0,,,,,
0,SET,Loop2,0,,,,,
0,:Attack2Begin,,,,,,,
0,RND,Choice,3,,,,,
0,ADD,HeightB,$Choice,2,,,,
0,MUL,HeightB,$HeightB,10,,,,
0,SET,RndSpeed,0,,,,,
0,JMPZ,SkipRndSpeed,$Loop2,,,,,
0,RND,RndSpeed,3,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,
0,:SkipRndSpeed,,,,,,,
0,SUB,HeightT,86,$HeightB,,,,
0,SUB,YB,386,$HeightB,,,,
0,MUL,X,$Loop2,22,,,,
0,ADD,X,$X,25,,,,
0,ADD,X,$X,$Total,,,,
0,ADD,SpeedL,6,$RndSpeed,,,,
0,MUL,XL,$X,$SpeedL,,,,
0,SUB,XL,320,$XL,,,,
0,MUL,SpeedL,$SpeedL,30,,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,
0,ADD,SpeedR,6,$RndSpeed,,,,
0,MUL,XR,$X,$SpeedR,,,,
0,ADD,XR,320,$XR,,,,
0,MUL,SpeedR,$SpeedR,30,,,,
0,BoneVRepeat,$XL,282,$HeightT,0,$SpeedL,3,12.5
0,BoneVRepeat,$XL,$YB,$HeightB,0,$SpeedL,3,12.5
0,BoneVRepeat,$XR,282,$HeightT,2,$SpeedR,3,12.5
0,BoneVRepeat,$XR,$YB,$HeightB,2,$SpeedR,3,12.5
0,MUL,TotalInc,$Choice,5,,,,
0,ADD,Total,$Total,$TotalInc,,,,
0,ADD,Loop2,$Loop2,1,,,,
0,JMPL,Attack2Begin,$Loop2,8,,,,
7.5,JMPABS,RndAttack,,,,,,
0,:Attack3,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartMode,1,,,,,,
0,RND,Side,2,,,,,
0,JMPZ,Attack3Other,$Side,,,,,
0,HeartTeleport,320,376,,,,,
0,BoneVRepeat,170,282,70,0,215,20,135
0,BoneVRepeat,170,371,15,0,215,20,135
0,BoneVRepeat,470,282,70,2,215,20,135
0,BoneVRepeat,470,371,15,2,215,20,135
0.065,BoneVRepeat,170,282,70,0,215,20,135
0,BoneVRepeat,170,371,15,0,215,20,135
0,BoneVRepeat,470,282,70,2,215,20,135
0,BoneVRepeat,470,371,15,2,215,20,135
0.065,BoneVRepeat,170,282,70,0,215,20,135
0,BoneVRepeat,170,371,15,0,215,20,135
0,BoneVRepeat,470,282,70,2,215,20,135
0,BoneVRepeat,470,371,15,2,215,20,135
6,JMPABS,RndAttack,,,,,,
0,:Attack3Other,,,,,,,
0,CombatZoneResizeInstant,171,276,476,391,,,
0,HeartTeleport,320,376,,,,,
0.15,BoneVRepeat,160,282,70,0,215,20,249
0,BoneVRepeat,160,371,15,0,215,20,249
0,BoneVRepeat,480,282,70,2,215,20,249
0,BoneVRepeat,480,371,15,2,215,20,249
0.5192,BoneVRepeat,160,282,60,0,215,20,249
0,BoneVRepeat,160,361,25,0,215,20,249
0,BoneVRepeat,480,282,60,2,215,20,249
0,BoneVRepeat,480,361,25,2,215,20,249
11,JMPABS,RndAttack,,,,,,
0,:Attack4,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,
0,HeartMode,1,,,,,,
0,RND,Side,2,,,,,
0,JMPZ,Attack4Other,$Side,,,,,
0,HeartTeleport,506,376,,,,,
0,BoneVRepeat,200,331,55,0,375,16,24
0.3,BoneVRepeat,-64,371,15,0,375,30,24
1.3,JMPABS,RndAttack,,,,,,
0,:Attack4Other,,,,,,,
0,HeartTeleport,149,376,,,,,
0,BoneVRepeat,440,331,55,2,375,16,24
0.3,BoneVRepeat,704,371,15,2,375,30,24
1.3,JMPABS,RndAttack,,,,,,
0,:End,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,
0,EndAttack,,,,,,,
